Epoch: 140, Loss: 5.9283, Acc: 0.1573, Top-5: 0.3537, Masked-5: 0.4159, Top-10: 0.4370, Masked-10: 0.5845
Epoch: 141, Loss: 5.9577, Acc: 0.1563, Top-5: 0.3506, Masked-5: 0.4163, Top-10: 0.4331, Masked-10: 0.5848
Epoch: 142, Loss: 5.9401, Acc: 0.1563, Top-5: 0.3521, Masked-5: 0.4166, Top-10: 0.4350, Masked-10: 0.5850
Epoch: 143, Loss: 5.9524, Acc: 0.1574, Top-5: 0.3517, Masked-5: 0.4169, Top-10: 0.4348, Masked-10: 0.5852
Epoch: 144, Loss: 5.9567, Acc: 0.1576, Top-5: 0.3495, Masked-5: 0.4171, Top-10: 0.4345, Masked-10: 0.5854
Epoch: 145, Loss: 5.9501, Acc: 0.1563, Top-5: 0.3523, Masked-5: 0.4174, Top-10: 0.4349, Masked-10: 0.5856
Epoch: 146, Loss: 5.9200, Acc: 0.1607, Top-5: 0.3550, Masked-5: 0.4176, Top-10: 0.4380, Masked-10: 0.5857
Epoch: 147, Loss: 5.9171, Acc: 0.1570, Top-5: 0.3586, Masked-5: 0.4180, Top-10: 0.4413, Masked-10: 0.5859
Epoch: 148, Loss: 5.9602, Acc: 0.1551, Top-5: 0.3492, Masked-5: 0.4182, Top-10: 0.4328, Masked-10: 0.5861
Epoch: 149, Loss: 5.9300, Acc: 0.1586, Top-5: 0.3524, Masked-5: 0.4184, Top-10: 0.4378, Masked-10: 0.5862
Epoch: 150, Loss: 5.8957, Acc: 0.1587, Top-5: 0.3602, Masked-5: 0.4187, Top-10: 0.4427, Masked-10: 0.5864
Epoch: 151, Loss: 5.9310, Acc: 0.1602, Top-5: 0.3571, Masked-5: 0.4190, Top-10: 0.4380, Masked-10: 0.5865
Epoch: 152, Loss: 5.9313, Acc: 0.1575, Top-5: 0.3533, Masked-5: 0.4192, Top-10: 0.4388, Masked-10: 0.5867
Epoch: 153, Loss: 5.9347, Acc: 0.1578, Top-5: 0.3553, Masked-5: 0.4195, Top-10: 0.4383, Masked-10: 0.5868
Epoch: 154, Loss: 5.9404, Acc: 0.1584, Top-5: 0.3548, Masked-5: 0.4197, Top-10: 0.4351, Masked-10: 0.5869
Epoch: 155, Loss: 5.9424, Acc: 0.1597, Top-5: 0.3522, Masked-5: 0.4199, Top-10: 0.4343, Masked-10: 0.5871
Epoch: 156, Loss: 5.8770, Acc: 0.1610, Top-5: 0.3629, Masked-5: 0.4202, Top-10: 0.4471, Masked-10: 0.5873
Epoch: 157, Loss: 5.9170, Acc: 0.1586, Top-5: 0.3566, Masked-5: 0.4205, Top-10: 0.4401, Masked-10: 0.5875
Epoch: 158, Loss: 5.9170, Acc: 0.1603, Top-5: 0.3585, Masked-5: 0.4208, Top-10: 0.4407, Masked-10: 0.5877
Epoch: 159, Loss: 5.9217, Acc: 0.1594, Top-5: 0.3589, Masked-5: 0.4210, Top-10: 0.4413, Masked-10: 0.5878
Epoch: 160, Loss: 5.9281, Acc: 0.1581, Top-5: 0.3548, Masked-5: 0.4212, Top-10: 0.4384, Masked-10: 0.5879
Epoch: 161, Loss: 5.9126, Acc: 0.1607, Top-5: 0.3581, Masked-5: 0.4215, Top-10: 0.4409, Masked-10: 0.5881
Epoch: 162, Loss: 5.9206, Acc: 0.1617, Top-5: 0.3576, Masked-5: 0.4217, Top-10: 0.4412, Masked-10: 0.5883
Epoch: 163, Loss: 5.9034, Acc: 0.1602, Top-5: 0.3596, Masked-5: 0.4219, Top-10: 0.4448, Masked-10: 0.5885
Epoch: 164, Loss: 5.8677, Acc: 0.1632, Top-5: 0.3663, Masked-5: 0.4222, Top-10: 0.4475, Masked-10: 0.5886
Epoch: 165, Loss: 5.8682, Acc: 0.1627, Top-5: 0.3642, Masked-5: 0.4225, Top-10: 0.4491, Masked-10: 0.5888
Epoch: 166, Loss: 5.8815, Acc: 0.1635, Top-5: 0.3660, Masked-5: 0.4228, Top-10: 0.4482, Masked-10: 0.5890
Epoch: 167, Loss: 5.8718, Acc: 0.1611, Top-5: 0.3610, Masked-5: 0.4230, Top-10: 0.4493, Masked-10: 0.5891
Epoch: 168, Loss: 5.8932, Acc: 0.1647, Top-5: 0.3654, Masked-5: 0.4233, Top-10: 0.4473, Masked-10: 0.5893
Epoch: 169, Loss: 5.9096, Acc: 0.1608, Top-5: 0.3595, Masked-5: 0.4235, Top-10: 0.4428, Masked-10: 0.5895
Epoch: 170, Loss: 5.9239, Acc: 0.1603, Top-5: 0.3568, Masked-5: 0.4237, Top-10: 0.4392, Masked-10: 0.5896
Epoch: 171, Loss: 5.8613, Acc: 0.1672, Top-5: 0.3636, Masked-5: 0.4239, Top-10: 0.4469, Masked-10: 0.5897
Epoch: 172, Loss: 5.9139, Acc: 0.1620, Top-5: 0.3615, Masked-5: 0.4241, Top-10: 0.4433, Masked-10: 0.5899
Epoch: 173, Loss: 5.9377, Acc: 0.1606, Top-5: 0.3588, Masked-5: 0.4243, Top-10: 0.4396, Masked-10: 0.5901
Epoch: 174, Loss: 5.8887, Acc: 0.1649, Top-5: 0.3656, Masked-5: 0.4246, Top-10: 0.4453, Masked-10: 0.5903
Epoch: 175, Loss: 5.8672, Acc: 0.1666, Top-5: 0.3659, Masked-5: 0.4249, Top-10: 0.4498, Masked-10: 0.5905
Epoch: 176, Loss: 5.8551, Acc: 0.1649, Top-5: 0.3675, Masked-5: 0.4251, Top-10: 0.4517, Masked-10: 0.5906
